epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7574.93,1.67924,2.18416,2.2461,0.6338,0.79928,0.77543,0.2362,3.41409,2.34189,1.76638,0.000398525,0.000398525,0.000398525
43,7754.63,1.71063,2.17758,2.24784,0.61959,0.73303,0.69784,0.19517,3.5882,2.55665,1.89364,0.00039605,0.00039605,0.00039605
44,7934.22,1.71478,2.19831,2.23686,0.73501,0.77112,0.79319,0.22675,3.50432,2.46747,1.81917,0.000393575,0.000393575,0.000393575
45,8113.63,1.68747,2.1486,2.21509,0.64927,0.79117,0.75807,0.23048,3.47148,2.33262,1.79283,0.0003911,0.0003911,0.0003911
46,8293.22,1.72216,2.19863,2.25032,0.71935,0.71827,0.77989,0.23096,3.4611,2.51091,1.77919,0.000388625,0.000388625,0.000388625
47,8472.98,1.67912,2.157,2.20188,0.72313,0.75918,0.77234,0.23201,3.42861,2.51484,1.73348,0.00038615,0.00038615,0.00038615
48,8653.15,1.68869,2.13646,2.2191,0.78055,0.81671,0.84389,0.25617,3.47679,2.26538,1.89327,0.000383675,0.000383675,0.000383675
49,8833.34,1.68756,2.12599,2.20716,0.79181,0.771,0.81472,0.25066,3.51103,2.1271,1.83477,0.0003812,0.0003812,0.0003812
50,9013.54,1.67701,2.12514,2.19737,0.69144,0.77457,0.76262,0.23546,3.48466,2.23251,1.828,0.000378725,0.000378725,0.000378725
51,9193.49,1.67721,2.05179,2.18035,0.70568,0.75958,0.77836,0.22275,3.54352,2.26587,1.86478,0.00037625,0.00037625,0.00037625
52,9373.1,1.65028,2.08159,2.18377,0.76373,0.75973,0.8112,0.25684,3.39995,2.18688,1.74693,0.000373775,0.000373775,0.000373775
53,9553.26,1.64227,2.06315,2.18932,0.74116,0.82485,0.82123,0.24237,3.50064,2.09642,1.86181,0.0003713,0.0003713,0.0003713
54,9733.62,1.67063,2.06595,2.20254,0.75807,0.8152,0.84916,0.26916,3.37011,2.14366,1.69977,0.000368825,0.000368825,0.000368825
55,9914.29,1.61865,2.00488,2.16273,0.76664,0.76466,0.81946,0.25721,3.45993,2.18495,1.79521,0.00036635,0.00036635,0.00036635
56,10094.4,1.61215,2.02639,2.15436,0.78835,0.78481,0.83739,0.24657,3.48446,2.1992,1.82761,0.000363875,0.000363875,0.000363875
57,10273.8,1.61882,2.00202,2.15988,0.74842,0.83519,0.84372,0.28321,3.25916,2.05003,1.6267,0.0003614,0.0003614,0.0003614
58,10454.4,1.62225,1.98689,2.13613,0.64013,0.77561,0.73615,0.21803,3.53814,2.2587,1.84007,0.000358925,0.000358925,0.000358925
59,10634.8,1.62845,2.01957,2.15075,0.72474,0.80865,0.79119,0.25084,3.35083,2.14302,1.66236,0.00035645,0.00035645,0.00035645
60,10814.3,1.63579,1.99173,2.1589,0.69803,0.8277,0.8279,0.28103,3.25847,2.02775,1.56844,0.000353975,0.000353975,0.000353975
61,10993.8,1.60906,1.98744,2.1242,0.71816,0.81539,0.82302,0.27679,3.25588,2.04578,1.5738,0.0003515,0.0003515,0.0003515
62,11173.8,1.60442,1.93403,2.12142,0.78093,0.82871,0.86569,0.28455,3.33127,2.11025,1.67594,0.000349025,0.000349025,0.000349025
