epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,11093.3,0.69262,0.65893,1.43069,0.85863,0.75935,0.75454,0.49923,1.34965,1.12124,2.34401,0.000113,0.000113,0.000113
45,11345.5,0.68361,0.65855,1.42256,0.8838,0.775,0.7576,0.50804,1.25813,1.12474,2.32344,0.000104,0.000104,0.000104
46,11596.2,0.70565,0.48443,1.65099,0.85488,0.775,0.75766,0.52303,1.28677,1.20065,2.25592,9.5e-05,9.5e-05,9.5e-05
47,11846.3,0.68287,0.45595,1.63338,0.81104,0.775,0.76211,0.52607,1.23834,1.20103,2.216,8.6e-05,8.6e-05,8.6e-05
48,12096.3,0.65603,0.43886,1.60429,0.8774,0.775,0.76329,0.52934,1.19834,1.13778,2.19757,7.7e-05,7.7e-05,7.7e-05
49,12346.1,0.64366,0.42902,1.5924,0.75645,0.77651,0.72945,0.49662,1.23511,1.20493,2.24352,6.8e-05,6.8e-05,6.8e-05
50,12595.8,0.62382,0.41832,1.57127,0.85273,0.72382,0.75101,0.5207,1.23316,1.15219,2.21598,5.9e-05,5.9e-05,5.9e-05
51,12845.7,0.61196,0.41225,1.56347,0.80285,0.775,0.75661,0.52243,1.21972,1.13114,2.21702,5e-05,5e-05,5e-05
52,13095.6,0.59817,0.40507,1.54732,0.7944,0.7728,0.76032,0.52411,1.23443,1.1572,2.23872,4.1e-05,4.1e-05,4.1e-05
53,13345.4,0.59158,0.39539,1.53693,0.75883,0.78676,0.75592,0.5257,1.21533,1.18515,2.21117,3.2e-05,3.2e-05,3.2e-05
54,13595,0.58347,0.39683,1.53066,0.77843,0.79063,0.75312,0.52888,1.18528,1.20442,2.1877,2.3e-05,2.3e-05,2.3e-05
55,13844.9,0.57155,0.38968,1.52109,0.77918,0.79405,0.75259,0.52776,1.18777,1.16904,2.1912,1.4e-05,1.4e-05,1.4e-05
