epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12243.5,0.74272,0.77533,1.45679,0.9224,0.67761,0.68099,0.41518,1.39529,1.30319,2.29809,0.000398525,0.000398525,0.000398525
43,12534.6,0.73958,0.76158,1.45261,0.90136,0.68014,0.75543,0.4221,1.3435,1.42503,2.3706,0.00039605,0.00039605,0.00039605
44,12825.2,0.73326,0.76192,1.44855,0.91422,0.67143,0.6944,0.40494,1.29682,1.41596,2.26998,0.000393575,0.000393575,0.000393575
45,13116.1,0.73005,0.76461,1.44399,0.9245,0.68186,0.69756,0.41777,1.30374,1.35451,2.29455,0.0003911,0.0003911,0.0003911
46,13406.2,0.72969,0.74785,1.44341,0.92994,0.68571,0.67902,0.45031,1.22741,1.297,2.26137,0.000388625,0.000388625,0.000388625
47,13698,0.72418,0.73787,1.43817,0.91902,0.68571,0.7488,0.38258,1.40572,1.24171,2.41799,0.00038615,0.00038615,0.00038615
48,13989.2,0.71949,0.74631,1.43259,0.91791,0.68571,0.73454,0.439,1.24669,1.31139,2.30513,0.000383675,0.000383675,0.000383675
49,14279,0.71906,0.74632,1.43282,0.92085,0.68571,0.6925,0.44088,1.26289,1.28909,2.24409,0.0003812,0.0003812,0.0003812
50,14570.2,0.70944,0.7353,1.4262,0.91414,0.68571,0.72334,0.45291,1.30371,1.24176,2.31299,0.000378725,0.000378725,0.000378725
51,14861.1,0.71346,0.73403,1.42854,0.92277,0.68037,0.74378,0.43578,1.36772,1.15749,2.34213,0.00037625,0.00037625,0.00037625
52,15151.2,0.70899,0.71569,1.42626,0.91701,0.68571,0.74169,0.48274,1.20122,1.29126,2.18961,0.000373775,0.000373775,0.000373775
53,15443.4,0.71139,0.72917,1.42733,0.91125,0.76014,0.79629,0.46514,1.25564,1.16818,2.19533,0.0003713,0.0003713,0.0003713
54,15735.2,0.70202,0.71527,1.42148,0.91263,0.7549,0.79106,0.45839,1.37058,1.13102,2.41034,0.000368825,0.000368825,0.000368825
55,16025.6,0.70323,0.70656,1.41894,0.91886,0.67143,0.68702,0.42828,1.20162,1.3134,2.2453,0.00036635,0.00036635,0.00036635
56,16316.8,0.7011,0.71317,1.41785,0.91881,0.68571,0.72254,0.43237,1.20163,1.18317,2.2911,0.000363875,0.000363875,0.000363875
57,16607.3,0.69599,0.69911,1.40984,0.9177,0.68571,0.75656,0.47719,1.19449,1.20489,2.22583,0.0003614,0.0003614,0.0003614
58,16898.9,0.69889,0.70254,1.41452,0.92131,0.67768,0.74416,0.43061,1.30637,1.1556,2.4029,0.000358925,0.000358925,0.000358925
59,17189.8,0.69508,0.69271,1.41157,0.92099,0.6787,0.72499,0.43665,1.28395,1.24266,2.35151,0.00035645,0.00035645,0.00035645
60,17482.1,0.69012,0.69417,1.40867,0.90183,0.69968,0.75161,0.50445,1.19551,1.1976,2.18267,0.000353975,0.000353975,0.000353975
61,17772.8,0.68626,0.68834,1.40559,0.91487,0.69214,0.7634,0.46597,1.20059,1.25344,2.23325,0.0003515,0.0003515,0.0003515
62,18064.9,0.69479,0.69316,1.40966,0.92467,0.69769,0.73679,0.45368,1.1652,1.22116,2.2323,0.000349025,0.000349025,0.000349025
63,18355.8,0.68117,0.68278,1.40111,0.90537,0.68571,0.76587,0.4802,1.2192,1.13962,2.3164,0.00034655,0.00034655,0.00034655
64,18647.8,0.67875,0.67205,1.39764,0.91513,0.68571,0.76475,0.4895,1.21107,1.18564,2.32259,0.000344075,0.000344075,0.000344075
65,18938.4,0.68043,0.67717,1.39893,0.92102,0.68571,0.76735,0.44631,1.17556,1.15195,2.27224,0.0003416,0.0003416,0.0003416
66,19229.4,0.68226,0.6721,1.40079,0.85642,0.77712,0.78802,0.46909,1.18942,1.19856,2.23568,0.000339125,0.000339125,0.000339125
67,19521.9,0.67648,0.67263,1.39531,0.91938,0.68571,0.76083,0.50202,1.1049,1.19358,2.11765,0.00033665,0.00033665,0.00033665
68,19812.6,0.67247,0.66485,1.39238,0.92129,0.68571,0.75342,0.49195,1.18285,1.18203,2.21975,0.000334175,0.000334175,0.000334175
69,20103.8,0.67691,0.67114,1.39672,0.93749,0.76034,0.78653,0.48643,1.17175,1.24126,2.18525,0.0003317,0.0003317,0.0003317
70,20395.3,0.66842,0.66297,1.39149,0.89039,0.77952,0.78816,0.47118,1.20431,1.18438,2.2703,0.000329225,0.000329225,0.000329225
71,20687.2,0.66333,0.65193,1.38484,0.8967,0.67143,0.73517,0.53781,1.24628,1.13372,2.29923,0.00032675,0.00032675,0.00032675
72,20978,0.66386,0.64604,1.38089,0.92597,0.68395,0.77392,0.46804,1.22085,1.26205,2.23652,0.000324275,0.000324275,0.000324275
73,21269.7,0.66555,0.65394,1.38612,0.92284,0.68321,0.7652,0.54722,1.13732,1.2452,2.19058,0.0003218,0.0003218,0.0003218
74,21561.9,0.65589,0.6432,1.37888,0.91958,0.68571,0.76525,0.53004,1.18157,1.22068,2.24294,0.000319325,0.000319325,0.000319325
75,21853.7,0.6653,0.64805,1.38325,0.91864,0.68571,0.74103,0.47487,1.17944,1.28799,2.20474,0.00031685,0.00031685,0.00031685
76,22145.5,0.6593,0.64685,1.383,0.91519,0.68571,0.72658,0.42858,1.18485,1.31489,2.22332,0.000314375,0.000314375,0.000314375
77,22438,0.65993,0.64647,1.38203,0.90894,0.68411,0.71988,0.41201,1.25329,1.25187,2.3008,0.0003119,0.0003119,0.0003119
78,22728.7,0.64954,0.6341,1.36973,0.91336,0.68571,0.72109,0.41216,1.24489,1.24683,2.29315,0.000309425,0.000309425,0.000309425
79,23020.3,0.65302,0.6375,1.37157,0.9174,0.68571,0.71911,0.42808,1.24563,1.23814,2.32548,0.00030695,0.00030695,0.00030695
80,23310.4,0.65052,0.63573,1.37382,0.77974,0.68571,0.69973,0.43384,1.19676,1.34254,2.21861,0.000304475,0.000304475,0.000304475
81,23601,0.65093,0.63228,1.3736,0.78696,0.68325,0.69642,0.42655,1.177,1.3305,2.20073,0.000302,0.000302,0.000302
82,23891.9,0.6483,0.62837,1.36861,0.78752,0.68571,0.69195,0.46483,1.15759,1.29109,2.19607,0.000299525,0.000299525,0.000299525
83,24183.8,0.64577,0.62489,1.36729,0.91818,0.68209,0.71506,0.48935,1.14617,1.3208,2.2091,0.00029705,0.00029705,0.00029705
84,24474.9,0.64577,0.61996,1.36732,0.92756,0.68081,0.74381,0.49393,1.14145,1.3011,2.20133,0.000294575,0.000294575,0.000294575
85,24765.8,0.65105,0.62898,1.36812,0.79,0.68571,0.72951,0.48059,1.16583,1.26037,2.2225,0.0002921,0.0002921,0.0002921
86,25056.1,0.63768,0.61458,1.36261,0.78585,0.68571,0.72722,0.48531,1.16745,1.23941,2.21185,0.000289625,0.000289625,0.000289625
87,25347.6,0.63398,0.61582,1.35874,0.77145,0.78379,0.74479,0.48982,1.15979,1.15145,2.24812,0.00028715,0.00028715,0.00028715
88,25639.1,0.6361,0.61196,1.35814,0.76548,0.78415,0.74388,0.48616,1.16013,1.1753,2.24666,0.000284675,0.000284675,0.000284675
89,25930.1,0.62704,0.60999,1.35395,0.92969,0.67973,0.74906,0.49205,1.18594,1.16337,2.27713,0.0002822,0.0002822,0.0002822
90,26220.9,0.63444,0.60677,1.35839,0.93545,0.67955,0.73893,0.49939,1.19248,1.15793,2.28588,0.000279725,0.000279725,0.000279725
91,26512.2,0.62475,0.5966,1.34983,0.93536,0.68454,0.73866,0.49842,1.22116,1.10857,2.35493,0.00027725,0.00027725,0.00027725
92,26803.3,0.62945,0.60187,1.35346,0.91542,0.68305,0.7261,0.48434,1.21907,1.14581,2.33982,0.000274775,0.000274775,0.000274775
93,27094.8,0.62234,0.60125,1.34847,0.92094,0.6924,0.76011,0.50321,1.22787,1.1481,2.35025,0.0002723,0.0002723,0.0002723
94,27385.6,0.63223,0.60203,1.35541,0.80463,0.69999,0.72086,0.48445,1.22696,1.11967,2.36496,0.000269825,0.000269825,0.000269825
95,27676.6,0.6207,0.59081,1.34492,0.80556,0.69903,0.72186,0.46811,1.23607,1.15728,2.35664,0.00026735,0.00026735,0.00026735
96,27967.8,0.62178,0.5894,1.34509,0.78583,0.78526,0.73936,0.47542,1.2455,1.17896,2.34648,0.000264875,0.000264875,0.000264875
97,28258.1,0.62255,0.58659,1.34485,0.78512,0.78424,0.74057,0.47342,1.23503,1.18459,2.33582,0.0002624,0.0002624,0.0002624
98,28549.8,0.62133,0.59685,1.34131,0.88233,0.78546,0.77918,0.45395,1.23693,1.20195,2.323,0.000259925,0.000259925,0.000259925
